"","region","a","b","c"
"119","MS Zaandam",10000,0.1,87.9305620831687
"120","Namibia",10000,0.11,89.9999185271683
"121","Nepal",10000,0,89.9999217289892
"122","Netherlands",40000,0.13,40.0159499818866
"123","New Zealand",10000,0.07,73.0169177679613
"124","Nicaragua",10000,0.1,89.999917191521
"125","Niger",10000,0.09,53.2495736409255
"126","Nigeria",10000,0.09,81.3128511899253
"127","North Macedonia",10000,0.08,76.9912158751431
"128","Norway",10000,0.09,37.9786527546216
"129","Oman",10000,0.11,72.3405188722339
"130","Pakistan",10000,0.14,44.3671023642193
"131","Panama",10000,0.1,41.8057632600017
"132","Papua New Guinea",10000,0.12,85.7853973401997
"133","Paraguay",10000,0.08,88.773859020404
"134","Peru",20000,0.23,38.7340038833307
"135","Philippines",10000,0.11,74.2392387212985
"136","Poland",10000,0.17,34.3781463117502
"137","Portugal",20000,0.19,32.3929423484168
"138","Qatar",30000,0.1,65.1016059732964
"139","Romania",10000,0.16,42.296065499696
"140","Russia",210000,0.16,87.6721335128724
"141","Rwanda",10000,0.08,85.1628394859741
"142","Saint Kitts and Nevis",10000,0.1,87.2940934554605
"143","Saint Lucia",10000,0.11,89.999946603151
"144","Saint Vincent and the Grenadines",10000,0.12,89.1606983440812
"145","San Marino",10000,0.07,89.9999498936555
"146","Sao Tome and Principe",10000,0.1,87.8050323097337
"147","Saudi Arabia",610000,0.1,89.910407151828
"148","Senegal",10000,0.08,86.2069177227205
"149","Serbia",10000,0.15,40.2540115759197
"150","Seychelles",10000,0.12,88.842179393752
"151","Sierra Leone",1e+06,0.18,76.0836679080741
"152","Singapore",10000,0.18,84.571698580882
"153","Slovakia",10000,0.07,72.8412915921762
"154","Slovenia",10000,0.05,79.0392977872782
"155","Somalia",50000,0.24,57.4540335120062
"156","South Africa",10000,0.07,56.0398114137027
"157","South Sudan",10000,0.1,89.5313413894141
"158","Spain",2e+05,0.17,59.9832044311785
"159","Sri Lanka",10000,0.49,89.9999284510093
"160","Sudan",1e+06,0.18,89.7995032546559
"161","Suriname",10000,0.12,89.5817260649618
"162","Sweden",20000,0.11,71.0336843539361
"163","Switzerland",30000,0.15,33.9250618743665
"164","Syria",10000,0.09,85.2777054097149
"165","Taiwan*",10000,0,89.9999217289892
"166","Tanzania",1e+06,0.2,76.8383485825538
"167","Thailand",10000,0.1,89.9999217289892
"168","Timor-Leste",10000,0.2,56.0086473676164
"169","Togo",10000,0.1,88.4708479124395
"170","Trinidad and Tobago",10000,0.08,86.5861984357581
"171","Tunisia",10000,0.06,83.2080458130183
"172","Turkey",110000,0.18,31.63387622178
"173","Uganda",10000,0.08,85.0235341099785
"174","Ukraine",10000,0.15,46.183545172463
"175","United Arab Emirates",10000,0.17,76.1764267715929
"176","United Kingdom",150000,0.16,70.2244879022873
"177","Uruguay",10000,0.05,89.9999281516652
"178","US",850000,0.17,43.8412506496549
"179","Uzbekistan",10000,0.12,48.2895156229198
"180","Venezuela",10000,0.07,85.9667222720465
"181","Vietnam",10000,0,89.9999217289892
"182","West Bank and Gaza",10000,0.06,75.0982867955578
"183","Western Sahara",10000,0.1,85.467046482268
"184","Yemen",10000,0.11,89.9999478567286
"185","Zambia",10000,0.09,86.3252952095555
"186","Zimbabwe",10000,0.09,89.9999261408294
