a_std,b_std,c_std,region,a,b,c,cluster
-0.24372950492526316,0.9384513442070807,-0.30826942426766346,Afghanistan,1000,0.19,44.45077452448852,3
-0.24709753523106548,0.7965391897172294,-1.3195427287258055,Albania,500,0.18,21.636147880605876,3
-0.24372950492526316,-0.1968458917117291,-0.6902534126970857,Andorra,1000,0.11,35.833102089609,3
-0.24979195947570731,-0.7644945096711339,-0.4915312824337219,Angola,100,0.07,40.316332476339056,3
-0.24979195947570731,-0.7644945096711339,-0.016110433197528713,Antigua and Barbuda,100,0.07,51.04196829231972,3
-0.24372950492526316,1.6480121166563366,-1.007501240679477,Armenia,1000,0.24,28.67589669607876,3
-0.24979195947570731,-0.33875804620158023,-1.3593421499932394,Bahamas,100,0.1,20.73826109485152,3
-0.24979195947570731,-0.05493373722187795,-1.432317590428491,Barbados,100,0.12,19.091913445444074,3
-0.24979195947570731,-0.33875804620158023,-0.586043496657975,Belize,100,0.1,38.18410880217775,3
-0.24979195947570731,-0.48067020069143157,-0.6608928485733637,Benin,100,0.09,36.495485152212844,3
-0.24979195947570731,-0.9064066641609853,1.5523838350976267,Bhutan,100,0.06,86.42766567646841,3
-0.24372950492526316,0.0869784172679734,-0.5917950810310291,Bolivia,1000,0.13,38.05435134738927,3
-0.24979195947570731,-0.48067020069143157,-0.6778095792550843,Botswana,100,0.09,36.11383867461165,3
-0.24709753523106548,-1.3321431276305389,0.6854991413880982,Brunei,500,0.03,66.87048905261135,3
-0.24372950492526316,-0.05493373722187795,-1.068332680677178,Bulgaria,1000,0.12,27.303521309880928,3
-0.24709753523106548,1.2222756531867829,-1.367041700516582,Burkina Faso,500,0.21,20.564556944112667,3
-0.24372950492526316,0.0869784172679734,-0.5474555185613011,Burma,1000,0.13,39.0546650695457,3
-0.24979195947570731,-1.0483188186508363,1.060024738416343,Burundi,100,0.05,75.3198979583028,3
-0.24979195947570731,2.925221507064998,-1.2637924778665581,Cabo Verde,100,0.33,22.893890127977908,3
-0.24979195947570731,5.337728133392468,0.05686440882528039,Cambodia,100,0.5,52.688302441364414,3
-0.24372950492526316,2.0737485801258906,-1.8217664301873808,Cameroon,1000,0.27,10.305831743472165,3
-0.24979195947570731,-0.9064066641609853,0.6694791457220849,Central African Republic,100,0.06,66.50907318377998,3
-0.24979195947570731,-0.05493373722187795,-0.9079144013512072,Chad,100,0.12,30.9226054224959,3
-0.24709753523106548,0.0869784172679734,-0.43241834769508897,Congo (Brazzaville),500,0.13,41.649937872566476,3
-0.24709753523106548,-0.1968458917117291,-0.789804057183239,Congo (Kinshasa),500,0.11,33.58720992959946,3
-0.24372950492526316,-0.33875804620158023,-0.7997593539700091,Costa Rica,1000,0.1,33.362615471980604,3
-0.24372950492526316,0.512714880737527,-0.922030980172988,Cote d'Ivoire,1000,0.16,30.604131204015033,3
-0.24372950492526316,1.3641878076766343,-1.0759225672938073,Cuba,1000,0.22,27.13229120950704,3
-0.24372950492526316,0.0869784172679734,-0.9663331554924531,Cyprus,1000,0.13,29.604660947092746,3
-0.24372950492526316,-0.9064066641609853,-2.278575718882073,Diamond Princess,1000,0.06,7.827101076568368e-5,3
-0.24372950492526316,3.2090458160447004,-1.0337764897688473,Djibouti,1000,0.35000000000000003,28.083119258657725,3
-0.24979195947570731,-1.3321431276305389,1.0393282773114247,Dominica,100,0.03,74.85297963772936,3
-0.24709753523106548,-0.05493373722187795,-1.0570199589060902,El Salvador,500,0.12,27.55873967903563,3
-0.24979195947570731,-0.7644945096711339,-1.0000729995331785,Eritrea,100,0.07,28.843480026545823,3
-0.24709753523106548,-0.9064066641609853,1.6223480717132521,Eswatini,500,0.06,88.00607967174838,3
-0.24709753523106548,-0.48067020069143157,-0.03612252832656093,Ethiopia,500,0.09,50.59048947178923,3
-0.24979195947570731,-1.0483188186508363,0.11401316414100814,Fiji,100,0.05,53.97759536538711,3
-0.24709753523106548,0.0869784172679734,-0.2681825291281426,Gabon,500,0.13,45.355146806332435,3
-0.24979195947570731,-0.9064066641609853,0.43297645928856643,Gambia,100,0.06,61.1735022085854,3
